p_score,rel_atr,ema21_slope,bias_long,bias_short,momentum_vol_ratio,order_flow_imbalance,order_flow_pressure,order_flow_aggressor,news_sentiment,news_event_severity,realtime_confidence,volatility_ratio,volatility_regime_flag,precision_score,precision_trigger_ready,precision_trigger_arming,precision_trigger_fire,precision_trigger_confidence,precision_order_flow_ready,structure_flip_flag,momentum_trail_activation_rr,momentum_trail_lock_ratio,momentum_trail_price,analysis_timestamp,close,label
3.0,0.000309012474766,-0.0004229095267384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9494795011546872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 09:50:07+00:00,,0
3.0,0.0003095336359884,-0.0003954244873997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 09:53:04+00:00,,0
3.0,0.0003593542680229,-0.0004142695886167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:12:10+00:00,,0
3.0,0.0003532023474749,-0.0004119135255508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:37:52+00:00,,0
3.0,0.0003718189505978,-0.00042030830847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:48:57+00:00,,0
3.0,0.0003731283647633,-0.0004399576598451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8600999462477129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 10:58:35+00:00,,0
13.0,0.0004025962850504,-0.0004313109036773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:19:14+00:00,,0
3.0,0.0003435306842344,-0.0004609335019549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:31:59+00:00,,0
3.0,0.0003674568422553,-0.0004507151634971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:43:53+00:00,,0
3.0,0.0003423663971991,-0.0004813770377599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:49:59+00:00,,0
3.0,0.0003123958424295,-0.0005161454617847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 11:53:04+00:00,,0
13.0,0.0003635401801092,-0.0005421274872776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7008238339021843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 12:18:39+00:00,,0
3.0,0.0003470602641842,-0.0005760050202172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9636393778961944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 13:18:32+00:00,,0
13.0,0.000360318703738,-0.0005051272439673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9895708079920594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 13:41:16+00:00,,0
31.0,0.0003300021754333,-0.0004332067129972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8350874824560411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2025-10-23 14:54:08+00:00,,0
